Paper_name,Paper_link,Paper_type,volume,issue,pub_date,Paper_ID,1,2,3,4,5,6,7
The sirtuin SIRT6 regulates lifespan in male mice,/nature/journal/v483/n7388/full/nature10815.html,letter,483,7388,8 March 2012,10815.html,Physiology,Health and medicine,Medical research,Molecular biology,,,
An epigenetic blockade of cognitive functions in the neurodegenerating brain,/nature/journal/v483/n7388/full/nature10849.html,letter,483,7388,8 March 2012,10849.html,Neuroscience,Disease,Molecular biology,Animal behaviour,,,
Skin infection generates non-migratory memory CD8 + u T RM u cells providing global skin immunity,/nature/journal/v483/n7388/full/nature10851.html,letter,483,7388,8 March 2012,10851.html,Immunology,Health and medicine,,,,,
Insights into hominid evolution from the gorilla genome sequence,/nature/journal/v483/n7388/full/nature10842.html,article,483,7388,8 March 2012,10842.html,Genetics,Palaeontology,Evolution,Genomics,,,
Piezo proteins are pore-forming subunits of mechanically activated channels,/nature/journal/v483/n7388/full/nature10812.html,article,483,7388,8 March 2012,10812.html,Neuroscience,,,,,,
Type VI secretion requires a dynamic contractile phage tail-like structure,/nature/journal/v483/n7388/full/nature10846.html,article,483,7388,8 March 2012,10846.html,Molecular biology,Structural biology,Evolution,Microbiology,,,
Biosignatures as revealed by spectropolarimetry of Earthshine,/nature/journal/v483/n7387/full/nature10778.html,letter,483,7387,1 March 2012,10778.html,Astronomy,Astrophysics,Biophysics,Earth sciences,Environmental science,,
Re-emerging superconductivity at 48   ukelvin in iron chalcogenides,/nature/journal/v483/n7387/full/nature10813.html,letter,483,7387,1 March 2012,10813.html,Physics,Materials science,,,,,
Catalytic functionalization of unactivated primary C H bonds directed by an alcohol,/nature/journal/v483/n7387/full/nature10785.html,letter,483,7387,1 March 2012,10785.html,Chemistry,,,,,,
Continental collision slowing due to viscous mantle lithosphere rather than topography,/nature/journal/v483/n7387/full/nature10848.html,letter,483,7387,1 March 2012,10848.html,Geology,Earth sciences,Geophysics,,,,
Surprisingly complex community discovered in the mid-Devonian fossil forest at Gilboa,/nature/journal/v483/n7387/full/nature10819.html,letter,483,7387,1 March 2012,10819.html,Earth sciences,Palaeontology,Plant sciences,Evolution,,,
Strict evolutionary conservation followed rapid gene loss on human and rhesus Y chromosomes,/nature/journal/v483/n7387/full/nature10843.html,letter,483,7387,1 March 2012,10843.html,Evolution,Genetics,Genomics,,,,
Opposite effects of fear conditioning and extinction on dendritic spine remodelling,/nature/journal/v483/n7387/full/nature10792.html,letter,483,7387,1 March 2012,10792.html,Neuroscience,,,,,,
Repetitive motor learning induces coordinated formation of clustered dendritic spines  in vivo,/nature/journal/v483/n7387/full/nature10844.html,letter,483,7387,1 March 2012,10844.html,Neuroscience,,,,,,
Circadian rhythms govern cardiac repolarization and arrhythmogenesis,/nature/journal/v483/n7387/full/nature10852.html,letter,483,7387,1 March 2012,10852.html,Molecular biology,Physiology,Medical research,Health and medicine,,,
Unresponsiveness of colon cancer to BRAF(V600E) inhibition through feedback activation of EGFR,/nature/journal/v483/n7387/full/nature10868.html,letter,483,7387,1 March 2012,10868.html,Cancer,Genomics,Genetics,Medical research,,,
Structural basis for recognition of H3K56-acetylated histone H3 H4 by the chaperone Rtt106,/nature/journal/v483/n7387/full/nature10861.html,letter,483,7387,1 March 2012,10861.html,Structural biology,Biochemistry,Cell biology,Molecular biology,,,
Structural and functional conservation of key domains in InsP 3 u and ryanodine receptors,/nature/journal/v483/n7387/full/nature10751.html,letter,483,7387,1 March 2012,10751.html,Structural biology,Biochemistry,Biophysics,,,,
Gain control by layer six in cortical circuits of vision,/nature/journal/v483/n7387/full/nature10835.html,article,483,7387,1 March 2012,10835.html,Neuroscience,,,,,,
Structural basis for iron piracy by pathogenic  Neisseria,/nature/journal/v483/n7387/full/nature10823.html,article,483,7387,1 March 2012,10823.html,Structural biology,Medical research,Microbiology,Biochemistry,,,
Recognition of SUMO-modified PCNA requires tandem receptor motifs in Srs2,/nature/journal/v483/n7387/full/nature10883.html,article,483,7387,1 March 2012,10883.html,Biochemistry,Structural biology,Biophysics,Genetics,Genomics,,
Abrupt acceleration of a \u2018cold ultrarelativistic wind from the Crab pulsar,/nature/journal/v482/n7386/full/nature10793.html,letter,482,7386,23 February 2012,10793.html,Astronomy,Astrophysics,Physics,,,,
Wetting of flexible fibre arrays,/nature/journal/v482/n7386/full/nature10779.html,letter,482,7386,23 February 2012,10779.html,Engineering,Applied physics ,,,,,
Recent contributions of glaciers and ice caps to sea level rise,/nature/journal/v482/n7386/full/nature10847.html,letter,482,7386,23 February 2012,10847.html,Earth sciences,Climate science,Geology,Geophysics,,,
The microRNA miR-34 modulates ageing and neurodegeneration in  Drosophila,/nature/journal/v482/n7386/full/nature10810.html,letter,482,7386,23 February 2012,10810.html,Genetics,Genomics,Organismal biology,Neuroscience,Disease,,
Maintenance of muscle stem-cell quiescence by microRNA-489,/nature/journal/v482/n7386/full/nature10834.html,letter,482,7386,23 February 2012,10834.html,Stem cells,Cell biology,,,,,
Clonal selection drives genetic divergence of metastatic medulloblastoma,/nature/journal/v482/n7386/full/nature10825.html,letter,482,7386,23 February 2012,10825.html,Cancer,Molecular biology,Genetics,Genomics,Health and medicine,,
DCC constrains tumour progression via its dependence receptor activity,/nature/journal/v482/n7386/full/nature10708.html,letter,482,7386,23 February 2012,10708.html,Cancer,Genetics,Genomics,,,,
Deleted in colorectal carcinoma suppresses metastasis in p53-deficient mammary tumours,/nature/journal/v482/n7386/full/nature10790.html,letter,482,7386,23 February 2012,10790.html,Cancer,Genetics,Genomics,,,,
The same pocket in menin binds both MLL and JUND but has opposite effects on transcription,/nature/journal/v482/n7386/full/nature10806.html,letter,482,7386,23 February 2012,10806.html,Cancer,Structural biology,Biochemistry,,,,
Structure of the human M2 muscarinic acetylcholine receptor bound to an antagonist,/nature/journal/v482/n7386/full/nature10753.html,letter,482,7386,23 February 2012,10753.html,Biochemistry,Drug discovery,Chemical biology,Structural biology,,,
Structure and dynamics of the M3 muscarinic acetylcholine receptor,/nature/journal/v482/n7386/full/nature10867.html,letter,482,7386,23 February 2012,10867.html,Chemical biology,Biochemistry,Drug discovery,Structural biology,,,
Experimental demonstration of topological error correction,/nature/journal/v482/n7386/full/nature10770.html,article,482,7386,23 February 2012,10770.html,Physics,,,,,,
Ubiquitin-dependent regulation of COPII coat size and function,/nature/journal/v482/n7386/full/nature10822.html,article,482,7386,23 February 2012,10822.html,Biochemistry,Stem cells,Cell biology,,,,
Structural basis of highly conserved ribosome recycling in eukaryotes and archaea,/nature/journal/v482/n7386/full/nature10829.html,article,482,7386,23 February 2012,10829.html,Biochemistry,Structural biology,Molecular biology,Cell biology,,,
Light echoes reveal an unexpectedly cool  η   uCarinae during its nineteenth-century Great Eruption,/nature/journal/v482/n7385/full/nature10775.html,letter,482,7385,16 February 2012,10775.html,Astronomy,Astrophysics,,,,,
Magnetic reconnection from a multiscale instability cascade,/nature/journal/v482/n7385/full/nature10827.html,letter,482,7385,16 February 2012,10827.html,Physics,Applied physics ,Engineering,,,,
Realization of three-qubit quantum error correction with superconducting circuits,/nature/journal/v482/n7385/full/nature10786.html,letter,482,7385,16 February 2012,10786.html,Applied physics ,Engineering,Physics,Computing science,Information technology,,
Origin of Columbia River flood basalt controlled by propagating rupture of the Farallon slab,/nature/journal/v482/n7385/full/nature10749.html,letter,482,7385,16 February 2012,10749.html,Geophysics,Earth sciences,Geology,Computing science,,,
DNase   uI sensitivity QTLs are a major determinant of human expression variation,/nature/journal/v482/n7385/full/nature10808.html,letter,482,7385,16 February 2012,10808.html,Genetics,Genomics,Molecular biology,,,,
Extrathymically generated regulatory T cells control mucosal T H u2 inflammation,/nature/journal/v482/n7385/full/nature10772.html,letter,482,7385,16 February 2012,10772.html,Immunology,,,,,,
Cancer exome analysis reveals a T-cell-dependent mechanism of cancer immunoediting,/nature/journal/v482/n7385/full/nature10755.html,letter,482,7385,16 February 2012,10755.html,Cancer,Immunology,Genetics,Genomics,,,
Expression of tumour-specific antigens underlies cancer immunoediting,/nature/journal/v482/n7385/full/nature10803.html,letter,482,7385,16 February 2012,10803.html,Cancer,Medical research,Immunology,,,,
Outgrowth of single oncogene-expressing cells from suppressive epithelial environments,/nature/journal/v482/n7385/full/nature10826.html,letter,482,7385,16 February 2012,10826.html,Cell biology,Cancer,Molecular biology,Genetics,Genomics,,
Galectin 8 targets damaged vesicles for autophagy to defend cells against bacterial invasion,/nature/journal/v482/n7385/full/nature10744.html,letter,482,7385,16 February 2012,10744.html,Cell biology,Microbiology,Immunology,,,,
Brassinosteroid regulates stomatal development by GSK3-mediated inhibition of a MAPK pathway,/nature/journal/v482/n7385/full/nature10794.html,letter,482,7385,16 February 2012,10794.html,Biochemistry,Developmental biology,Plant sciences,Cell biology,,,
Single-molecule imaging of DNA pairing by RecA reveals a three-dimensional homology search,/nature/journal/v482/n7385/full/nature10782.html,letter,482,7385,16 February 2012,10782.html,Biochemistry,Biophysics,Molecular biology,,,,
Eutrophication causes speciation reversal in whitefish adaptive radiations,/nature/journal/v482/n7385/full/nature10824.html,article,482,7385,16 February 2012,10824.html,Ecology,Evolution,Zoology,Environmental science,,,
Prions are a common mechanism for phenotypic inheritance in wild yeasts,/nature/journal/v482/n7385/full/nature10875.html,article,482,7385,16 February 2012,10875.html,Evolution,Molecular biology,Microbiology,Genetics,Genomics,,
Crystal structure of the channelrhodopsin light-gated cation channel,/nature/journal/v482/n7385/full/nature10870.html,article,482,7385,16 February 2012,10870.html,Structural biology,Neuroscience,,,,,
A tidally distorted dwarf galaxy near NGC 4449,/nature/journal/v482/n7384/full/nature10837.html,letter,482,7384,9 February 2012,10837.html,Physics,Astronomy,Astrophysics,,,,
Two Earth-sized planets orbiting Kepler-20,/nature/journal/v482/n7384/full/nature10780.html,letter,482,7384,9 February 2012,10780.html,Astronomy,Astrophysics,Planetary sciences,,,,
Electromagnetically induced transparency with resonant nuclei in a cavity,/nature/journal/v482/n7384/full/nature10741.html,letter,482,7384,9 February 2012,10741.html,Physics,,,,,,
Thresholdless nanoscale coaxial lasers,/nature/journal/v482/n7384/full/nature10840.html,letter,482,7384,9 February 2012,10840.html,Applied physics ,Engineering,Physics,Materials science,,,
Supercontinent cycles and the calculation of absolute palaeolongitude in deep time,/nature/journal/v482/n7384/full/nature10800.html,letter,482,7384,9 February 2012,10800.html,Geology,Geophysics,Earth sciences,Planetary sciences,,,
Genetic contributions to stability and change in intelligence from childhood to old age,/nature/journal/v482/n7384/full/nature10781.html,letter,482,7384,9 February 2012,10781.html,Genetics,Genomics,Psychology,,,,
Probing sporadic and familial Alzheimers disease using induced pluripotent stem cells,/nature/journal/v482/n7384/full/nature10821.html,letter,482,7384,9 February 2012,10821.html,Neuroscience,Stem cells,,,,,
Enhancer decommissioning by LSD1 during embryonic stem cell differentiation,/nature/journal/v482/n7384/full/nature10805.html,letter,482,7384,9 February 2012,10805.html,Stem cells,Developmental biology,Genetics,Genomics,,,
Driver mutations in histone H3.3 and chromatin remodelling genes in paediatric glioblastoma,/nature/journal/v482/n7384/full/nature10833.html,letter,482,7384,9 February 2012,10833.html,Cancer,Genetics,Genomics,Cell biology,,,
High-throughput decoding of antitrypanosomal drug efficacy and resistance,/nature/journal/v482/n7384/full/nature10771.html,letter,482,7384,9 February 2012,10771.html,Cell biology,Genetics,Genomics,Molecular biology,Parasitology,,
G-protein-coupled receptor inactivation by an allosteric inverse-agonist antibody,/nature/journal/v482/n7384/full/nature10750.html,letter,482,7384,9 February 2012,10750.html,Structural biology,Biochemistry,Molecular biology,Drug discovery,,,
Gated regulation of CRAC channel ion selectivity by STIM1,/nature/journal/v482/n7384/full/nature10752.html,letter,482,7384,9 February 2012,10752.html,Physiology,Biochemistry,Immunology,Biophysics,,,
Hsp90 stress potentiates rapid cellular adaptation through induction of aneuploidy,/nature/journal/v482/n7384/full/nature10795.html,letter,482,7384,9 February 2012,10795.html,Cell biology,Evolution,Genetics,Genomics,,,
Functional dissection of lysine deacetylases reveals that HDAC1 and p300 regulate AMPK,/nature/journal/v482/n7384/full/nature10804.html,letter,482,7384,9 February 2012,10804.html,Genetics,Genomics,Biochemistry,,,,
The  Drosophila melanogaster u Genetic Reference Panel,/nature/journal/v482/n7384/full/nature10811.html,article,482,7384,9 February 2012,10811.html,Evolution,Genomics,Genetics,,,,
Inflammasome-mediated dysbiosis regulates progression of NAFLD and obesity,/nature/journal/v482/n7384/full/nature10809.html,article,482,7384,9 February 2012,10809.html,Immunology,Microbiology,Health and medicine,,,,
Complete subunit architecture of the proteasome regulatory particle,/nature/journal/v482/n7384/full/nature10774.html,article,482,7384,9 February 2012,10774.html,Structural biology,Biochemistry,Biophysics,Cell biology,,,
Creation and diagnosis of a solid-density plasma with an X-ray free-electron laser,/nature/journal/v482/n7383/full/nature10746.html,letter,482,7383,2 February 2012,10746.html,Physics,Planetary sciences,,,,,
Quantum-coherent coupling of a mechanical oscillator to an optical cavity mode,/nature/journal/v482/n7383/full/nature10787.html,letter,482,7383,2 February 2012,10787.html,Physics,,,,,,
Direct frequency comb spectroscopy in the extreme ultraviolet,/nature/journal/v482/n7383/full/nature10711.html,letter,482,7383,2 February 2012,10711.html,Physics,Applied physics ,Technology,Engineering,,,
Nonlinear material behaviour of spider silk yields robust webs,/nature/journal/v482/n7383/full/nature10739.html,letter,482,7383,2 February 2012,10739.html,Materials science,Applied physics ,Engineering,Biophysics,,,
Decadal to monthly timescales of magma transfer and reservoir growth at a caldera volcano,/nature/journal/v482/n7383/full/nature10706.html,letter,482,7383,2 February 2012,10706.html,Earth sciences,Geology,Geophysics,,,,
Serial translocation by means of circular intermediates underlies colour sidedness in cattle,/nature/journal/v482/n7383/full/nature10757.html,letter,482,7383,2 February 2012,10757.html,Genetics,Genomics,,,,,
Neuron-type-specific signals for reward and punishment in the ventral tegmental area,/nature/journal/v482/n7383/full/nature10754.html,letter,482,7383,2 February 2012,10754.html,Neuroscience,Animal behaviour,,,,,
Vaccine protection against acquisition of neutralization-resistant SIV challenges in rhesus monkeys,/nature/journal/v482/n7383/full/nature10766.html,letter,482,7383,2 February 2012,10766.html,Virology,Medical research,Immunology,,,,
Maternal and paternal genomes contribute equally to the transcriptome of early plant embryos,/nature/journal/v482/n7383/full/nature10756.html,letter,482,7383,2 February 2012,10756.html,Plant sciences,Molecular biology,Developmental biology,Genetics,Genomics,,
Mutations in kelch-like 3 and cullin 3 cause hypertension and electrolyte abnormalities,/nature/journal/v482/n7383/full/nature10814.html,letter,482,7383,2 February 2012,10814.html,Genetics,Genomics,Disease,Medical research,Physiology,,
A novel sensor to map auxin response and distribution at high spatio-temporal resolution,/nature/journal/v482/n7383/full/nature10791.html,letter,482,7383,2 February 2012,10791.html,Plant sciences,Developmental biology,Cell biology,,,,
Adenylylation control by intra- or intermolecular active <b>-</b> usite obstruction in Fic proteins,/nature/journal/v482/n7383/full/nature10729.html,letter,482,7383,2 February 2012,10729.html,Microbiology,Biochemistry,Structural biology,Evolution,,,
Cysteinyl leukotriene type I receptor desensitization sustains Ca 2+ u-dependent gene expression,/nature/journal/v482/n7383/full/nature10731.html,letter,482,7383,2 February 2012,10731.html,Physiology,Cell biology,Immunology,Biochemistry,,,
Structures of cytochrome P450 17A1 with prostate cancer drugs abiraterone and TOK-001,/nature/journal/v482/n7383/full/nature10743.html,letter,482,7383,2 February 2012,10743.html,Biochemistry,Cancer,Drug discovery,Chemical biology,,,
Conditional modulation of spike-timing-dependent plasticity for olfactory learning,/nature/journal/v482/n7383/full/nature10776.html,article,482,7383,2 February 2012,10776.html,Neuroscience,Physiology,Animal behaviour,,,,
DNA breaks and chromosome pulverization from errors in mitosis,/nature/journal/v482/n7383/full/nature10802.html,article,482,7383,2 February 2012,10802.html,Cell biology,Cancer,,,,,
Transiting circumbinary planets Kepler-34 b and Kepler-35 b,/nature/journal/v481/n7382/full/nature10768.html,letter,481,7382,26 January 2012,10768.html,Astronomy,Astrophysics,,,,,
Generation of scaled protogalactic seed magnetic fields in laser-produced shock waves,/nature/journal/v481/n7382/full/nature10747.html,letter,481,7382,26 January 2012,10747.html,Physics,Astronomy,Astrophysics,Applied physics ,Engineering,,
Light-cone-like spreading of correlations in a quantum many-body system,/nature/journal/v481/n7382/full/nature10748.html,letter,481,7382,26 January 2012,10748.html,Physics,,,,,,
Atomic inner-shell X-ray laser at 1.46 nanometres pumped by an X-ray free-electron laser,/nature/journal/v481/n7382/full/nature10721.html,letter,481,7382,26 January 2012,10721.html,Physics,,,,,,
Pathway complexity in supramolecular polymerization,/nature/journal/v481/n7382/full/nature10720.html,letter,481,7382,26 January 2012,10720.html,Chemistry,Materials science,,,,,
Social networks and cooperation in hunter-gatherers,/nature/journal/v481/n7382/full/nature10736.html,letter,481,7382,26 January 2012,10736.html,Evolution,Anthropology,Psychology,,,,
Purkinje neuron synchrony elicits time-locked spiking in the cerebellar nuclei,/nature/journal/v481/n7382/full/nature10732.html,letter,481,7382,26 January 2012,10732.html,Neuroscience,,,,,,
Clonal evolution in relapsed acute myeloid leukaemia revealed by whole-genome sequencing,/nature/journal/v481/n7382/full/nature10738.html,letter,481,7382,26 January 2012,10738.html,Cancer,Genetics,Genomics,Medical research,,,
Exercise-induced BCL2-regulated autophagy is required for muscle glucose homeostasis,/nature/journal/v481/n7382/full/nature10758.html,letter,481,7382,26 January 2012,10758.html,Cell biology,Health and medicine,Physiology,Health and medicine,,,
Multi-isotope imaging mass spectrometry quantifies stem cell division and metabolism,/nature/journal/v481/n7382/full/nature10734.html,letter,481,7382,26 January 2012,10734.html,Stem cells,Cell biology,Health and medicine,,,,
Multi-isotope imaging mass spectrometry reveals slow protein turnover in hair-cell stereocilia,/nature/journal/v481/n7382/full/nature10745.html,letter,481,7382,26 January 2012,10745.html,Cell biology,Physiology,Health and medicine,,,,
Molecular recognition of a single sphingolipid species by a proteins transmembrane domain,/nature/journal/v481/n7382/full/nature10742.html,letter,481,7382,26 January 2012,10742.html,Biochemistry,Cell biology,Structural biology,Chemical biology,,,
Structure of the carboxy-terminal region of a KCNH channel,/nature/journal/v481/n7382/full/nature10735.html,letter,481,7382,26 January 2012,10735.html,Structural biology,Biophysics,Neuroscience,Physiology,,,
Endothelial and perivascular cells maintain haematopoietic stem cells,/nature/journal/v481/n7382/full/nature10783.html,article,481,7382,26 January 2012,10783.html,Stem cells,Developmental biology,Cell biology,,,,
A PGC1- α u-dependent myokine that drives brown-fat-like development of white fat and thermogenesis,/nature/journal/v481/n7382/full/nature10777.html,article,481,7382,26 January 2012,10777.html,Medical research,Cell biology,Biochemistry,Health and medicine,,,
X-ray structures of LeuT in substrate-free outward-open and apo inward-open states,/nature/journal/v481/n7382/full/nature10737.html,article,481,7382,26 January 2012,10737.html,Structural biology,Neuroscience,,,,,
Gravitational detection of a low-mass dark satellite galaxy at cosmological distance,/nature/journal/v481/n7381/full/nature10669.html,letter,481,7381,19 January 2012,10669.html,Astronomy,Astrophysics,,,,,
Coherent singlet-triplet oscillations in a silicon-based double quantum dot,/nature/journal/v481/n7381/full/nature10707.html,letter,481,7381,19 January 2012,10707.html,Physics,Applied physics ,Engineering,Computing science,Materials science,,
Reconfigurable self-assembly through chiral control of interfacial tension,/nature/journal/v481/n7381/full/nature10769.html,letter,481,7381,19 January 2012,10769.html,Applied physics ,Engineering,Physics,Materials science,,,
Kimberlite ascent by assimilation-fuelled buoyancy,/nature/journal/v481/n7381/full/nature10740.html,letter,481,7381,19 January 2012,10740.html,Earth sciences,Geophysics,Geology,Planetary sciences,,,
Recovery rates reflect distance to a tipping point in a living system,/nature/journal/v481/n7381/full/nature10723.html,letter,481,7381,19 January 2012,10723.html,Ecology,Environmental science,,,,,
Evolution of increased complexity in a molecular machine,/nature/journal/v481/n7381/full/nature10724.html,letter,481,7381,19 January 2012,10724.html,Evolution,Molecular biology,Cell biology,Computing science,,,
Global landscape of HIV human protein complexes,/nature/journal/v481/n7381/full/nature10719.html,letter,481,7381,19 January 2012,10719.html,Cell biology,Computing science,Virology,Biochemistry,,,
Vif hijacks CBF-\u03b2 to degrade APOBEC3G and promote HIV-1 infection,/nature/journal/v481/n7381/full/nature10693.html,letter,481,7381,19 January 2012,10693.html,Cell biology,Biochemistry,Virology,Microbiology,,,
T-cell differentiation factor CBF-\u03b2 regulates HIV-1 Vif-mediated evasion of host restriction,/nature/journal/v481/n7381/full/nature10718.html,letter,481,7381,19 January 2012,10718.html,Virology,Molecular biology,Drug discovery,,,,
Reductive glutamine metabolism by IDH1 mediates lipogenesis under hypoxia,/nature/journal/v481/n7381/full/nature10602.html,letter,481,7381,19 January 2012,10602.html,Biochemistry,Cancer,Cell biology,Chemical biology,,,
Reductive carboxylation supports growth in tumour cells with defective mitochondria,/nature/journal/v481/n7381/full/nature10642.html,letter,481,7381,19 January 2012,10642.html,Cancer,Cell biology,Health and medicine,,,,
Differential oestrogen receptor binding is associated with clinical outcome in breast cancer,/nature/journal/v481/n7381/full/nature10730.html,letter,481,7381,19 January 2012,10730.html,Cancer,Disease,Genetics,Genomics,,,
Natural killer cells act as rheostats modulating antiviral T cells,/nature/journal/v481/n7381/full/nature10624.html,letter,481,7381,19 January 2012,10624.html,Immunology,Virology,Medical research,Microbiology,,,
A novel retinoblastoma therapy from genomic and epigenetic analyses,/nature/journal/v481/n7381/full/nature10733.html,article,481,7381,19 January 2012,10733.html,Cancer,Genetics,Genomics,,,,
Structure of HDAC3 bound to co-repressor and inositol tetraphosphate,/nature/journal/v481/n7381/full/nature10728.html,article,481,7381,19 January 2012,10728.html,Structural biology,Biochemistry,,,,,
An absence of ex-companion stars in the type Ia supernova remnant SNR 0509\u221267.5,/nature/journal/v481/n7380/full/nature10692.html,letter,481,7380,12 January 2012,10692.html,Astronomy,Astrophysics,Physics,,,,
One or more bound planets per Milky Way star from microlensing observations,/nature/journal/v481/n7380/full/nature10684.html,letter,481,7380,12 January 2012,10684.html,Astronomy,Astrophysics,Planetary sciences,,,,
Implementation of a Toffoli gate with superconducting circuits,/nature/journal/v481/n7380/full/nature10713.html,letter,481,7380,12 January 2012,10713.html,Physics,Applied physics ,Engineering,Information technology,Computing science,,
Charge order and three-site distortions in the Verwey structure of magnetite,/nature/journal/v481/n7380/full/nature10704.html,letter,481,7380,12 January 2012,10704.html,Chemistry,Physics,,,,,
Modelling the rheology of MgO under Earths mantle pressure temperature and strain rates,/nature/journal/v481/n7380/full/nature10687.html,letter,481,7380,12 January 2012,10687.html,Geology,Geophysics,,,,,
Tail-assisted pitch control in lizards robots and dinosaurs,/nature/journal/v481/n7380/full/nature10710.html,letter,481,7380,12 January 2012,10710.html,Organismal biology,Applied physics ,Engineering,Animal behaviour,Biophysics,,
Topoisomerase inhibitors unsilence the dormant allele of  Ube3a u in neurons,/nature/journal/v481/n7380/full/nature10726.html,letter,481,7380,12 January 2012,10726.html,Drug discovery,Neuroscience,,,,,
A microRNA regulon that mediates endothelial recruitment and metastasis by cancer cells,/nature/journal/v481/n7380/full/nature10661.html,letter,481,7380,12 January 2012,10661.html,Cancer,Disease,Molecular biology,Medical research,,,
Ars2 maintains neural stem-cell identity through direct transcriptional activation of  Sox2,/nature/journal/v481/n7380/full/nature10712.html,letter,481,7380,12 January 2012,10712.html,Neuroscience,Stem cells,,,,,
Acquisition of a multifunctional IgA + u plasma cell phenotype in the gut,/nature/journal/v481/n7380/full/nature10698.html,letter,481,7380,12 January 2012,10698.html,Immunology,,,,,,
Cysteine methylation disrupts ubiquitin-chain sensing in NF-\u03baB activation,/nature/journal/v481/n7380/full/nature10690.html,letter,481,7380,12 January 2012,10690.html,Biochemistry,Immunology,Cell biology,,,,
Basic amino-acid side chains regulate transmembrane integrin signalling,/nature/journal/v481/n7380/full/nature10697.html,letter,481,7380,12 January 2012,10697.html,Cell biology,Structural biology,,,,,
Subnanometre-resolution structure of the intact  Thermus thermophilus u H + u-driven ATP synthase,/nature/journal/v481/n7380/full/nature10699.html,letter,481,7380,12 January 2012,10699.html,Biochemistry,Biophysics,Structural biology,,,,
An unanticipated architecture of the 750-kDa  α 6 u\u03b2 6 u holoenzyme of 3-methylcrotonyl-CoA carboxylase,/nature/journal/v481/n7380/full/nature10691.html,letter,481,7380,12 January 2012,10691.html,Structural biology,Biochemistry,,,,,
The genetic basis of early T-cell precursor acute lymphoblastic leukaemia,/nature/journal/v481/n7380/full/nature10725.html,article,481,7380,12 January 2012,10725.html,Cancer,Genetics,Genomics,Health and medicine,Molecular biology,,
A gas cloud on its way towards the supermassive black hole at the Galactic Centre,/nature/journal/v481/n7379/full/nature10652.html,letter,481,7379,5 January 2012,10652.html,Astronomy,Astrophysics,,,,,
Fast core rotation in red-giant stars as revealed by gravity-dominated mixed modes,/nature/journal/v481/n7379/full/nature10612.html,letter,481,7379,5 January 2012,10612.html,Astronomy,Astrophysics,,,,,
Polar methane accumulation and rainstorms on Titan from simulations of the methane cycle,/nature/journal/v481/n7379/full/nature10666.html,letter,481,7379,5 January 2012,10666.html,Planetary sciences,Astronomy,Astrophysics,Climate science,,,
Demonstration of temporal cloaking,/nature/journal/v481/n7379/full/nature10695.html,letter,481,7379,5 January 2012,10695.html,Applied physics ,Engineering,Physics,Technology,,,
Changing Arctic Ocean freshwater pathways,/nature/journal/v481/n7379/full/nature10705.html,letter,481,7379,5 January 2012,10705.html,Climate science,Earth sciences,,,,,
Reversal of cocaine-evoked synaptic potentiation resets drug-induced adaptive behaviour,/nature/journal/v481/n7379/full/nature10709.html,letter,481,7379,5 January 2012,10709.html,Neuroscience,Animal behaviour,Health and medicine,Physiology,,,
Modulation of TRPA1 thermal sensitivity enables sensory discrimination in  Drosophila,/nature/journal/v481/n7379/full/nature10715.html,letter,481,7379,5 January 2012,10715.html,Animal behaviour,Neuroscience,Genetics,Genomics,Physiology,,
Antibody-based protection against HIV infection by vectored immunoprophylaxis,/nature/journal/v481/n7379/full/nature10660.html,letter,481,7379,5 January 2012,10660.html,Health and medicine,Immunology,Health and medicine,Virology,,,
Interactions between cancer stem cells and their niche govern metastatic colonization,/nature/journal/v481/n7379/full/nature10694.html,letter,481,7379,5 January 2012,10694.html,Cancer,Stem cells,Medical research,Cell biology,,,
FBXO11 targets BCL6 for degradation and is inactivated in diffuse large B-cell lymphomas,/nature/journal/v481/n7379/full/nature10688.html,letter,481,7379,5 January 2012,10688.html,Cancer,Genetics,Genomics,Cell biology,Molecular biology,,
Open structure of the Ca 2+ u gating ring in the high-conductance Ca 2+ u-activated K + u channel,/nature/journal/v481/n7379/full/nature10670.html,letter,481,7379,5 January 2012,10670.html,Structural biology,Biochemistry,Biophysics,Physiology,,,
Structure of a methyl-coenzyme M reductase from Black Sea mats that oxidize methane anaerobically,/nature/journal/v481/n7379/full/nature10663.html,letter,481,7379,5 January 2012,10663.html,Microbiology,Structural biology,Environmental science,,,,
A sensing array of radically coupled genetic \u2018biopixels,/nature/journal/v481/n7379/full/nature10722.html,article,481,7379,5 January 2012,10722.html,Molecular biology,Biotechnology,Cell biology,Physics,,,
Antiparallel EmrE exports drugs by exchanging between asymmetric structures,/nature/journal/v481/n7379/full/nature10703.html,article,481,7379,5 January 2012,10703.html,Biophysics,Structural biology,Biochemistry,,,,
A compact system of small planets around a former red-giant star,/nature/journal/v480/n7378/full/nature10631.html,letter,480,7378,22 December 2011,10631.html,Astronomy,Astrophysics,,,,,
Orbital excitation blockade and algorithmic cooling in quantum gases,/nature/journal/v480/n7378/full/nature10668.html,letter,480,7378,22 December 2011,10668.html,Physics,,,,,,
Tuning charge transport in solution-sheared organic semiconductors using lattice strain,/nature/journal/v480/n7378/full/nature10683.html,letter,480,7378,22 December 2011,10683.html,Materials science,,,,,,
Forcing of wet phases in southeast Africa over the past 17000 years,/nature/journal/v480/n7378/full/nature10685.html,letter,480,7378,22 December 2011,10685.html,Climate science,Earth sciences,Environmental science,Geology,Geophysics,,
